ВАРИАНТ 6

МЕТОД CТРЕЛЬБ

Itr|    z(0)|    y(0)|             Delta|
   1|  0.00000|  1.97988|  0.020122811198041|
   2|  3.00000|  2.04027|  0.040274270010797|
   3|  1.50000|  2.01006|  0.010064990038878|
   4|  0.75000|  1.99497|  0.005031599240759|
   5|  1.12500|  2.00252|  0.002516023664032|
   6|  0.93750|  1.99874|  0.001257955778849|
   7|  1.03125|  2.00063|  0.000628991951872|
   8|  0.98438|  1.99969|  0.000314492412042|
   9|  1.00781|  2.00016|  0.000157247145388|
  10|  0.99609|  1.99992|  7.86232894718e-05|
  11|  1.00195|  2.00004|  3.93117639237e-05|
  12|  0.99902|  1.99998|  1.96558037850e-05|
  13|  1.00049|  2.00001|  9.82796982196e-06|
  14|  0.99976|  2.00000|  4.91391954283e-06|
  15|  1.00012|  2.00000|  2.45702449408e-06|
  16|  0.99994|  2.00000|  1.22844768624e-06|
  17|  1.00003|  2.00000|  6.14288364620e-07|

Максимальная по модулю погрешность: 0.04027427001

       x|    y(x)|     Yпр|    z(x)|            Delta|
  0.38750|  1.64767|  1.64767|  1.73992|  6.04463446630e-07|
  0.39375|  1.65844|  1.65844|  1.70688|  6.04570508544e-07|
  0.40000|  1.66900|  1.66900|  1.67251|  6.04677933946e-07|
  0.40625|  1.67935|  1.67935|  1.63685|  6.04785711067e-07|
  0.41250|  1.68946|  1.68946|  1.59999|  6.04893827916e-07|
  0.41875|  1.69934|  1.69934|  1.56200|  6.05002271170e-07|
  0.42500|  1.70898|  1.70898|  1.52294|  6.05111025509e-07|
  0.43125|  1.71838|  1.71838|  1.48289|  6.05220075167e-07|
  0.43750|  1.72752|  1.72752|  1.44193|  6.05329404157e-07|
  0.44375|  1.73640|  1.73640|  1.40014|  6.05438994050e-07|
  0.45000|  1.74502|  1.74502|  1.35760|  6.05548827082e-07|
  0.45625|  1.75337|  1.75337|  1.31438|  6.05658882602e-07|
  0.46250|  1.76145|  1.76145|  1.27057|  6.05769141293e-07|
  0.46875|  1.76925|  1.76925|  1.22626|  6.05879582283e-07|
  0.47500|  1.77677|  1.77677|  1.18152|  6.05990184255e-07|
  0.48125|  1.78402|  1.78402|  1.13644|  6.06100924783e-07|
  0.48750|  1.79098|  1.79098|  1.09110|  6.06211781662e-07|
  0.49375|  1.79766|  1.79766|  1.04559|  6.06322731356e-07|
  0.50000|  1.80405|  1.80405|  1.00000|  6.06433750550e-07|
  0.50625|  1.81016|  1.81016|  0.95441|  6.06544815929e-07|
  0.51250|  1.81598|  1.81598|  0.90890|  6.06655902846e-07|
  0.51875|  1.82152|  1.82152|  0.86356|  6.06766988209e-07|
  0.52500|  1.82677|  1.82677|  0.81848|  6.06878046705e-07|
  0.53125|  1.83175|  1.83175|  0.77374|  6.06989053686e-07|
  0.53750|  1.83645|  1.83645|  0.72943|  6.07099986061e-07|
  0.54375|  1.84087|  1.84087|  0.68562|  6.07210818737e-07|
  0.55000|  1.84502|  1.84502|  0.64240|  6.07321527069e-07|
  0.55625|  1.84890|  1.84890|  0.59986|  6.07432087074e-07|
  0.56250|  1.85252|  1.85252|  0.55807|  6.07542474551e-07|
  0.56875|  1.85588|  1.85588|  0.51711|  6.07652666629e-07|
  0.57500|  1.85898|  1.85898|  0.47706|  6.07762639326e-07|
  0.58125|  1.86184|  1.86184|  0.43800|  6.07872369551e-07|
  0.58750|  1.86446|  1.86446|  0.40001|  6.07981834877e-07|
  0.59375|  1.86685|  1.86685|  0.36315|  6.08091013543e-07|
  0.60000|  1.86900|  1.86900|  0.32749|  6.08199882901e-07|
  0.60625|  1.87094|  1.87094|  0.29312|  6.08308423189e-07|
  0.61250|  1.87267|  1.87267|  0.26008|  6.08416613757e-07|
  0.61875|  1.87420|  1.87420|  0.22846|  6.08524434176e-07|
  0.62500|  1.87553|  1.87553|  0.19831|  6.08631866239e-07|
  0.63125|  1.87668|  1.87668|  0.16969|  6.08738891072e-07|
  0.63750|  1.87765|  1.87765|  0.14266|  6.08845491135e-07|
  0.64375|  1.87846|  1.87846|  0.11727|  6.08951651104e-07|
  0.65000|  1.87912|  1.87912|  0.09358|  6.09057354550e-07|
  0.65625|  1.87964|  1.87964|  0.07164|  6.09162586596e-07|
  0.66250|  1.88002|  1.88002|  0.05148|  6.09267333695e-07|
  0.66875|  1.88029|  1.88028|  0.03315|  6.09371583415e-07|
  0.67500|  1.88044|  1.88044|  0.01670|  6.09475323765e-07|
  0.68125|  1.88050|  1.88050|  0.00215|  6.09578543864e-07|
  0.68750|  1.88047|  1.88047| -0.01046|  6.09681234831e-07|
  0.69375|  1.88037|  1.88037| -0.02111|  6.09783388228e-07|
  0.70000|  1.88021|  1.88021| -0.02978|  6.09884996505e-07|
  0.70625|  1.88000|  1.88000| -0.03643|  6.09986054556e-07|
  0.71250|  1.87976|  1.87976| -0.04107|  6.10086557273e-07|
  0.71875|  1.87949|  1.87949| -0.04367|  6.10186501770e-07|
  0.72500|  1.87922|  1.87922| -0.04423|  6.10285885827e-07|
  0.73125|  1.87895|  1.87895| -0.04276|  6.10384708555e-07|
  0.73750|  1.87869|  1.87869| -0.03925|  6.10482970398e-07|
  0.74375|  1.87846|  1.87846| -0.03371|  6.10580673577e-07|
  0.75000|  1.87827|  1.87827| -0.02616|  6.10677821644e-07|
  0.75625|  1.87814|  1.87814| -0.01662|  6.10774418597e-07|
  0.76250|  1.87807|  1.87807| -0.00510|  6.10870470652e-07|
  0.76875|  1.87808|  1.87808|  0.00835|  6.10965985359e-07|
  0.77500|  1.87818|  1.87818|  0.02372|  6.11060971378e-07|
  0.78125|  1.87838|  1.87838|  0.04095|  6.11155439145e-07|
  0.78750|  1.87869|  1.87869|  0.05999|  6.11249399318e-07|
  0.79375|  1.87913|  1.87913|  0.08081|  6.11342864998e-07|
  0.80000|  1.87971|  1.87970|  0.10332|  6.11435850395e-07|
  0.80625|  1.88043|  1.88042|  0.12748|  6.11528370609e-07|
  0.81250|  1.88130|  1.88130|  0.15321|  6.11620442070e-07|
  0.81875|  1.88234|  1.88234|  0.18044|  6.11712082543e-07|
  0.82500|  1.88356|  1.88356|  0.20906|  6.11803311346e-07|
  0.83125|  1.88496|  1.88496|  0.23901|  6.11894147351e-07|
  0.83750|  1.88655|  1.88655|  0.27017|  6.11984612320e-07|
  0.84375|  1.88834|  1.88834|  0.30244|  6.12074728235e-07|
  0.85000|  1.89033|  1.89033|  0.33570|  6.12164517744e-07|
  0.85625|  1.89254|  1.89254|  0.36985|  6.12254004606e-07|
  0.86250|  1.89496|  1.89496|  0.40474|  6.12343213691e-07|
  0.86875|  1.89760|  1.89760|  0.44025|  6.12432170310e-07|
  0.87500|  1.90046|  1.90046|  0.47623|  6.12520899779e-07|
  0.88125|  1.90355|  1.90355|  0.51253|  6.12609428963e-07|
  0.88750|  1.90687|  1.90687|  0.54899|  6.12697784730e-07|
  0.89375|  1.91041|  1.91041|  0.58544|  6.12785993948e-07|
  0.90000|  1.91419|  1.91419|  0.62172|  6.12874083927e-07|
  0.90625|  1.91818|  1.91818|  0.65762|  6.12962082203e-07|
  0.91250|  1.92241|  1.92240|  0.69297|  6.13050016307e-07|
  0.91875|  1.92685|  1.92684|  0.72756|  6.13137913330e-07|
  0.92500|  1.93150|  1.93150|  0.76118|  6.13225800361e-07|
  0.93125|  1.93636|  1.93636|  0.79361|  6.13313703379e-07|
  0.93750|  1.94142|  1.94141|  0.82463|  6.13401649030e-07|
  0.94375|  1.94666|  1.94666|  0.85399|  6.13489661738e-07|
  0.95000|  1.95209|  1.95209|  0.88146|  6.13577765929e-07|
  0.95625|  1.95768|  1.95767|  0.90677|  6.13665984694e-07|
  0.96250|  1.96342|  1.96341|  0.92965|  6.13754339795e-07|
  0.96562|  1.96634|  1.96634|  0.94010|  6.13798575300e-07|
  0.96875|  1.96929|  1.96929|  0.94984|  6.13842852104e-07|
  0.97187|  1.97227|  1.97227|  0.95884|  6.13887173539e-07|
  0.97500|  1.97528|  1.97528|  0.96705|  6.13931540494e-07|
  0.97812|  1.97832|  1.97832|  0.97444|  6.13975956520e-07|
  0.98125|  1.98137|  1.98137|  0.98098|  6.14020422063e-07|
  0.98437|  1.98445|  1.98445|  0.98662|  6.14064940008e-07|
  0.98750|  1.98754|  1.98754|  0.99133|  6.14109511243e-07|
  0.99062|  1.99064|  1.99064|  0.99506|  6.14154138656e-07|
  0.99375|  1.99376|  1.99375|  0.99778|  6.14198822024e-07|
  0.99687|  1.99688|  1.99688|  0.99944|  6.14243564012e-07|
  1.00000|  2.00000|  2.00000|  1.00000|  6.14288364620e-07|

Максимальная по модулю погрешность: 6.14288364620e-07

МЕТОД КОНЕЧНЫХ РАЗНОСТЕЙ

ЯВНАЯ СХЕМА

N = 8

      t|	  	delta| 	x:| 0.00000|  0.12500|  0.25000|  0.37500|  0.50000|  0.62500|  0.75000|  0.87500|  1.00000|
  0.020|                     0  |   0.00000|  0.12948|  0.25829|  0.38583|  0.51172|  0.63583|  0.75829|  0.87948|  1.00000|
  0.039|  5.77627086795207e-06  |   0.00000|  0.13397|  0.26658|  0.39666|  0.52344|  0.64666|  0.76658|  0.88397|  1.00000|
  0.059|  1.71089663845159e-05  |   0.00000|  0.13846|  0.27487|  0.40750|  0.53517|  0.65750|  0.77487|  0.88846|  1.00000|
  0.078|  3.37866077286808e-05  |   0.00000|  0.14295|  0.28317|  0.41834|  0.54691|  0.66834|  0.78317|  0.89295|  1.00000|
  0.098|  5.56057650128450e-05  |   0.00000|  0.14744|  0.29147|  0.42918|  0.55865|  0.67918|  0.79147|  0.89744|  1.00000|
  0.117|  8.23707509387539e-05  |   0.00000|  0.15194|  0.29978|  0.44004|  0.57039|  0.69004|  0.79978|  0.90194|  1.00000|
  0.137|  0.000113893326112002  |   0.00000|  0.15644|  0.30809|  0.45089|  0.58215|  0.70089|  0.80809|  0.90644|  1.00000|
  0.156|  0.000149992415573896  |   0.00000|  0.16093|  0.31640|  0.46175|  0.59390|  0.71175|  0.81640|  0.91093|  1.00000|
  0.176|  0.000190493836120909  |   0.00000|  0.16543|  0.32471|  0.47262|  0.60566|  0.72262|  0.82471|  0.91543|  1.00000|
  0.195|  0.000235230034002831  |   0.00000|  0.16994|  0.33303|  0.48348|  0.61742|  0.73348|  0.83303|  0.91994|  1.00000|
  0.215|  0.000284039832604499  |   0.00000|  0.17444|  0.34135|  0.49436|  0.62919|  0.74436|  0.84135|  0.92444|  1.00000|
  0.234|  0.000336768189730385  |   0.00000|  0.17894|  0.34968|  0.50523|  0.64096|  0.75523|  0.84968|  0.92894|  1.00000|
  0.254|  0.000393265964127032  |   0.00000|  0.18345|  0.35800|  0.51611|  0.65274|  0.76611|  0.85800|  0.93345|  1.00000|
  0.273|  0.000453389690892037  |   0.00000|  0.18796|  0.36633|  0.52699|  0.66452|  0.77699|  0.86633|  0.93796|  1.00000|
  0.293|  0.000517001365430758  |   0.00000|  0.19247|  0.37466|  0.53788|  0.67630|  0.78788|  0.87466|  0.94247|  1.00000|
  0.313|  0.000583968235635668  |   0.00000|  0.19698|  0.38300|  0.54877|  0.68808|  0.79877|  0.88300|  0.94698|  1.00000|
  0.332|  0.000654162601975372  |   0.00000|  0.20149|  0.39133|  0.55966|  0.69987|  0.80966|  0.89133|  0.95149|  1.00000|
  0.352|  0.000727461625192549  |   0.00000|  0.20600|  0.39967|  0.57055|  0.71166|  0.82055|  0.89967|  0.95600|  1.00000|
  0.371|  0.000803747141320810  |   0.00000|  0.21051|  0.40801|  0.58145|  0.72346|  0.83145|  0.90801|  0.96051|  1.00000|
  0.391|  0.000882905483741925  |   0.00000|  0.21503|  0.41635|  0.59235|  0.73526|  0.84235|  0.91635|  0.96503|  1.00000|
  0.410|  0.000964827312015526  |   0.00000|  0.21955|  0.42470|  0.60325|  0.74706|  0.85325|  0.92470|  0.96955|  1.00000|
  0.430|  0.001049407447224371  |   0.00000|  0.22406|  0.43304|  0.61416|  0.75886|  0.86416|  0.93304|  0.97406|  1.00000|
  0.449|  0.001136544713584930  |   0.00000|  0.22858|  0.44139|  0.62506|  0.77067|  0.87506|  0.94139|  0.97858|  1.00000|
  0.469|  0.001226141786087931  |   0.00000|  0.23310|  0.44974|  0.63597|  0.78248|  0.88597|  0.94974|  0.98310|  1.00000|
  0.488|  0.001318105043936590  |   0.00000|  0.23762|  0.45809|  0.64689|  0.79429|  0.89689|  0.95809|  0.98762|  1.00000|
  0.508|  0.001412344429563617  |   0.00000|  0.24214|  0.46645|  0.65780|  0.80610|  0.90780|  0.96645|  0.99214|  1.00000|
  0.527|  0.001508773313013689  |   0.00000|  0.24666|  0.47480|  0.66872|  0.81792|  0.91872|  0.97480|  0.99666|  1.00000|
  0.547|  0.001607308361487814  |   0.00000|  0.25118|  0.48316|  0.67963|  0.82973|  0.92963|  0.98316|  1.00118|  1.00000|
  0.566|  0.001707869413853036  |   0.00000|  0.25571|  0.49151|  0.69055|  0.84155|  0.94055|  0.99151|  1.00571|  1.00000|
  0.586|  0.001810379359927561  |   0.00000|  0.26023|  0.49987|  0.70147|  0.85337|  0.95147|  0.99987|  1.01023|  1.00000|
  0.605|  0.001914764024361304  |   0.00000|  0.26475|  0.50823|  0.71240|  0.86520|  0.96240|  1.00823|  1.01475|  1.00000|
  0.625|  0.002020952054935465  |   0.00000|  0.26928|  0.51659|  0.72332|  0.87702|  0.97332|  1.01659|  1.01928|  1.00000|
  0.645|  0.002128874815112924  |   0.00000|  0.27381|  0.52496|  0.73425|  0.88885|  0.98425|  1.02496|  1.02381|  1.00000|
  0.664|  0.002238466280679696  |   0.00000|  0.27833|  0.53332|  0.74518|  0.90068|  0.99518|  1.03332|  1.02833|  1.00000|
  0.684|  0.002349662940318575  |   0.00000|  0.28286|  0.54169|  0.75611|  0.91251|  1.00611|  1.04169|  1.03286|  1.00000|
  0.703|  0.002462403699967974  |   0.00000|  0.28739|  0.55005|  0.76704|  0.92434|  1.01704|  1.05005|  1.03739|  1.00000|
  0.723|  0.002576629790820628  |   0.00000|  0.29192|  0.55842|  0.77797|  0.93617|  1.02797|  1.05842|  1.04192|  1.00000|
  0.742|  0.002692284680823609  |   0.00000|  0.29644|  0.56679|  0.78890|  0.94800|  1.03890|  1.06679|  1.04644|  1.00000|
  0.762|  0.002809313989547313  |   0.00000|  0.30097|  0.57516|  0.79984|  0.95984|  1.04984|  1.07516|  1.05097|  1.00000|
  0.781|  0.002927665406294078  |   0.00000|  0.30550|  0.58353|  0.81077|  0.97168|  1.06077|  1.08353|  1.05550|  1.00000|
  0.801|  0.003047288611323307  |   0.00000|  0.31003|  0.59190|  0.82171|  0.98352|  1.07171|  1.09190|  1.06003|  1.00000|
  0.820|  0.003168135200075861  |   0.00000|  0.31456|  0.60027|  0.83265|  0.99536|  1.08265|  1.10027|  1.06456|  1.00000|
  0.840|  0.003290158610281368  |   0.00000|  0.31910|  0.60864|  0.84359|  1.00720|  1.09359|  1.10864|  1.06910|  1.00000|
  0.859|  0.003413314051839977  |   0.00000|  0.32363|  0.61702|  0.85453|  1.01904|  1.10453|  1.11702|  1.07363|  1.00000|
  0.879|  0.003537558439373978  |   0.00000|  0.32816|  0.62539|  0.86547|  1.03088|  1.11547|  1.12539|  1.07816|  1.00000|
  0.898|  0.003662850327345035  |   0.00000|  0.33269|  0.63376|  0.87641|  1.04273|  1.12641|  1.13376|  1.08269|  1.00000|
  0.918|  0.003789149847641449  |   0.00000|  0.33722|  0.64214|  0.88736|  1.05457|  1.13736|  1.14214|  1.08722|  1.00000|
  0.938|  0.003916418649541731  |   0.00000|  0.34176|  0.65052|  0.89830|  1.06642|  1.14830|  1.15052|  1.09176|  1.00000|
  0.957|  0.004044619841961250  |   0.00000|  0.34629|  0.65889|  0.90925|  1.07826|  1.15925|  1.15889|  1.09629|  1.00000|
  0.977|  0.004173717937898891  |   0.00000|  0.35083|  0.66727|  0.92019|  1.09011|  1.17019|  1.16727|  1.10083|  1.00000|
  0.996|  0.004303678800997135  |   0.00000|  0.35536|  0.67565|  0.93114|  1.10196|  1.18114|  1.17565|  1.10536|  1.00000|

В конечный момент времени: 
     x|     uj|
  0.000|  0.00000|
  0.125|  0.35536|
  0.250|  0.67565|
  0.375|  0.93114|
  0.500|  1.10196|
  0.625|  1.18114|
  0.750|  1.17565|
  0.875|  1.10536|
  1.000|  1.00000|

Максимальная погрешность: 0.004303678800997135  


N = 16

      t|		delta| x: | 0.00000|  0.06250|  0.12500|  0.18750|  0.25000|  0.31250|  0.37500|  0.43750|  0.50000|  0.56250|  0.62500|  0.68750|  0.75000|  0.81250|  0.87500|  0.93750|  1.00000|
  0.005|  		     0  |   0.00000|  0.06307|  0.12612|  0.18913|  0.25207|  0.31494|  0.37771|  0.44037|  0.50293|  0.56537|  0.62771|  0.68994|  0.75207|  0.81413|  0.87612|  0.93807|  1.00000|
  0.010|  9.06027819436162e-08  |   0.00000|  0.06364|  0.12724|  0.19076|  0.25414|  0.31737|  0.38041|  0.44325|  0.50586|  0.56825|  0.63041|  0.69237|  0.75414|  0.81576|  0.87724|  0.93864|  1.00000|
  0.015|  2.70937892232759e-07  |   0.00000|  0.06421|  0.12836|  0.19238|  0.25621|  0.31981|  0.38312|  0.44612|  0.50879|  0.57112|  0.63312|  0.69481|  0.75621|  0.81738|  0.87836|  0.93921|  1.00000|
  0.020|  5.40143240024271e-07  |   0.00000|  0.06479|  0.12948|  0.19401|  0.25829|  0.32224|  0.38583|  0.44899|  0.51172|  0.57399|  0.63583|  0.69724|  0.75829|  0.81901|  0.87948|  0.93979|  1.00000|
  0.024|  8.97365017182850e-07  |   0.00000|  0.06536|  0.13061|  0.19564|  0.26036|  0.32468|  0.38853|  0.45187|  0.51465|  0.57687|  0.63853|  0.69968|  0.76036|  0.82064|  0.88061|  0.94036|  1.00000|
  0.029|  1.34175761812294e-06  |   0.00000|  0.06593|  0.13173|  0.19727|  0.26243|  0.32712|  0.39124|  0.45474|  0.51758|  0.57974|  0.64124|  0.70212|  0.76243|  0.82227|  0.88173|  0.94093|  1.00000|
  0.034|  1.87248356131597e-06  |   0.00000|  0.06650|  0.13285|  0.19889|  0.26450|  0.32955|  0.39395|  0.45762|  0.52051|  0.58262|  0.64395|  0.70455|  0.76450|  0.82389|  0.88285|  0.94150|  1.00000|
  0.039|  2.48871341124168e-06  |   0.00000|  0.06707|  0.13397|  0.20052|  0.26657|  0.33199|  0.39666|  0.46049|  0.52344|  0.58549|  0.64666|  0.70699|  0.76657|  0.82552|  0.88397|  0.94207|  1.00000|
  0.044|  3.18962570122761e-06  |   0.00000|  0.06764|  0.13509|  0.20215|  0.26865|  0.33443|  0.39936|  0.46336|  0.52637|  0.58836|  0.64936|  0.70943|  0.76865|  0.82715|  0.88509|  0.94264|  1.00000|
  0.049|  3.97440685651063e-06  |   0.00000|  0.06822|  0.13621|  0.20378|  0.27072|  0.33686|  0.40207|  0.46624|  0.52930|  0.59124|  0.65207|  0.71186|  0.77072|  0.82878|  0.88621|  0.94322|  1.00000|
  0.054|  4.84225111885284e-06  |   0.00000|  0.06879|  0.13733|  0.20541|  0.27279|  0.33930|  0.40478|  0.46911|  0.53223|  0.59411|  0.65478|  0.71430|  0.77279|  0.83041|  0.88733|  0.94379|  1.00000|
  0.059|  5.79236047104636e-06  |   0.00000|  0.06936|  0.13846|  0.20703|  0.27486|  0.34174|  0.40749|  0.47199|  0.53516|  0.59699|  0.65749|  0.71674|  0.77486|  0.83203|  0.88846|  0.94436|  1.00000|
  0.063|  6.82394456263946e-06  |   0.00000|  0.06993|  0.13958|  0.20866|  0.27694|  0.34417|  0.41019|  0.47486|  0.53809|  0.59986|  0.66019|  0.71917|  0.77694|  0.83366|  0.88958|  0.94493|  1.00000|
  0.068|  7.93622063666177e-06  |   0.00000|  0.07050|  0.14070|  0.21029|  0.27901|  0.34661|  0.41290|  0.47774|  0.54102|  0.60274|  0.66290|  0.72161|  0.77901|  0.83529|  0.89070|  0.94550|  1.00000|
  0.073|  9.12841345612758e-06  |   0.00000|  0.07108|  0.14182|  0.21192|  0.28108|  0.34905|  0.41561|  0.48061|  0.54395|  0.60561|  0.66561|  0.72405|  0.78108|  0.83692|  0.89182|  0.94608|  1.00000|
  0.078|  1.03997552320934e-05  |   0.00000|  0.07165|  0.14294|  0.21355|  0.28315|  0.35148|  0.41832|  0.48348|  0.54689|  0.60848|  0.66832|  0.72648|  0.78315|  0.83855|  0.89294|  0.94665|  1.00000|
  0.083|  1.17494855521594e-05  |   0.00000|  0.07222|  0.14406|  0.21518|  0.28523|  0.35392|  0.42102|  0.48636|  0.54982|  0.61136|  0.67102|  0.72892|  0.78523|  0.84018|  0.89406|  0.94722|  1.00000|
  0.088|  1.31768513091934e-05  |   0.00000|  0.07279|  0.14519|  0.21680|  0.28730|  0.35636|  0.42373|  0.48923|  0.55275|  0.61423|  0.67373|  0.73136|  0.78730|  0.84180|  0.89519|  0.94779|  1.00000|
  0.093|  1.46811066318309e-05  |   0.00000|  0.07336|  0.14631|  0.21843|  0.28937|  0.35880|  0.42644|  0.49211|  0.55568|  0.61711|  0.67644|  0.73380|  0.78937|  0.84343|  0.89631|  0.94836|  1.00000|
  0.098|  1.62615128141974e-05  |   0.00000|  0.07393|  0.14743|  0.22006|  0.29144|  0.36123|  0.42915|  0.49498|  0.55861|  0.61998|  0.67915|  0.73623|  0.79144|  0.84506|  0.89743|  0.94893|  1.00000|
  0.103|  1.79173382476305e-05  |   0.00000|  0.07451|  0.14855|  0.22169|  0.29352|  0.36367|  0.43186|  0.49786|  0.56154|  0.62286|  0.68186|  0.73867|  0.79352|  0.84669|  0.89855|  0.94951|  1.00000|
  0.107|  1.96478583522897e-05  |   0.00000|  0.07508|  0.14967|  0.22332|  0.29559|  0.36611|  0.43457|  0.50073|  0.56447|  0.62573|  0.68457|  0.74111|  0.79559|  0.84832|  0.89967|  0.95008|  1.00000|
  0.112|  2.14523555095436e-05  |   0.00000|  0.07565|  0.15079|  0.22495|  0.29766|  0.36854|  0.43727|  0.50361|  0.56740|  0.62861|  0.68727|  0.74354|  0.79766|  0.84995|  0.90079|  0.95065|  1.00000|
